risk_rank,layer,head,count,mean,max,sum
131,11,6,4.0,0.07824172079563135,0.0861175060272216,0.3129668831825254
132,48,0,38.0,0.008181945273750662,0.0140873193740844,0.3109139204025252
133,6,9,5.0,0.06213597059249876,0.0913034081459045,0.3106798529624938
134,2,4,2.0,0.15152513980865473,0.1587147116661071,0.30305027961730946
135,4,12,25.0,0.012007076740264844,0.0324072837829589,0.3001769185066211
136,45,0,26.0,0.011517703533172559,0.0206549167633056,0.2994602918624865
137,4,9,27.0,0.01097241595939349,0.0314665436744689,0.2962552309036242
138,32,2,27.0,0.010877810142658333,0.0194896459579467,0.293700873851775
139,22,18,2.0,0.13930118083953852,0.1874104738235473,0.27860236167907704
140,24,4,2.0,0.13885313272476196,0.1631122827529907,0.2777062654495239
141,11,3,3.0,0.0921905636787414,0.0981503725051879,0.2765716910362242
142,4,14,2.0,0.13595071434974665,0.2262654900550842,0.2719014286994933
143,36,8,6.0,0.04457533359527583,0.0937484502792358,0.267452001571655
144,26,12,2.0,0.1332538723945617,0.1879922151565551,0.2665077447891234
145,49,1,38.0,0.006937613612727064,0.0085163116455078,0.26362931728362843
146,45,15,4.0,0.06513290107250211,0.1000590324401855,0.26053160429000843
147,31,12,5.0,0.05053986310958858,0.0660495162010192,0.2526993155479429
148,10,5,5.0,0.04884098768234248,0.0668245553970336,0.2442049384117124
149,20,5,17.0,0.014296335332533846,0.0246437788009643,0.2430377006530754
150,36,23,5.0,0.04781304597854608,0.0870967507362365,0.2390652298927304
151,22,22,3.0,0.07776653766632076,0.0870115756988525,0.2332996129989623
152,42,17,12.0,0.01888696352640784,0.0313720703125,0.2266435623168941
153,32,7,5.0,0.04405847787857052,0.0563781261444091,0.22029238939285262
154,47,3,23.0,0.0094732927239459,0.01093590259552,0.2178857326507557
155,59,22,42.0,0.0051476082631519305,0.0108956098556518,0.2161995470523811
156,7,6,1.0,0.2128742933273315,0.2128742933273315,0.2128742933273315
157,9,18,7.0,0.03005126544407431,0.0384448170661926,0.21035885810852017
158,38,2,2.0,0.10450297594070429,0.1193099021911621,0.20900595188140858
159,12,18,1.0,0.2073003053665161,0.2073003053665161,0.2073003053665161
160,36,7,3.0,0.06759107112884517,0.0787945389747619,0.2027732133865355
161,14,18,1.0,0.1939775943756103,0.1939775943756103,0.1939775943756103
162,18,17,13.0,0.014276779614962015,0.0218011140823364,0.1855981349945062
163,50,9,1.0,0.1853359937667846,0.1853359937667846,0.1853359937667846
